config,engine,model,architecture,active_params,precision,hardware,gpus,rps,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,10,7.608893524493709,1947.8767422703895,108.28847597196727,100.52265400008764,116.89281899907655,367.29337550985275,13288.202764500056,14338.841170900196,15369.988787320199,51.7274724411775,55.81839069373054,,,6.98,0.9953858202696007,0.523489055941673,1.901445329127389
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,1,0.9866388045428182,252.57953396296145,111.22719572602,108.63702050028223,125.09615549988666,128.3818971499204,11462.208313500014,11724.368938301086,12073.951865710278,44.506577450980934,45.53209407764656,,,6.98,7.676349934089315,0.523489055941673,14.663821233627875
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,200,14.467895051976198,3703.7811333059067,10963.81549084603,6329.892090499925,21077.821948401106,22218.826190969776,17588.571088000208,32789.03675440015,33034.698271479865,52.32278683137088,63.937709925878295,,,6.98,0.523489055941673,0.523489055941673,1.0
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,25,13.707081709888547,3509.012917731468,3403.5451601520253,256.7010709999522,7327.2918088012375,7513.3567953203055,18106.30078899885,22789.007181400666,23986.02396126993,67.51341313137185,70.69902926902061,,,6.98,0.552545383658022,0.523489055941673,1.055505129260212
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,50,14.347111780714782,3672.860615862984,7635.209077636002,3119.691869000235,14954.0407442988,15105.52005731015,17637.292677500227,28921.476832900407,29795.13779870891,52.77997202352779,64.84391770902185,,,6.98,0.527896125574404,0.523489055941673,1.0084186471191903
S4,sglang,Qwen/Qwen3-30B-A3B-Instruct-2507,ultra_sparse_moe,3B,fp8,H100,1,5,4.724962521560967,1209.5904055196077,100.41849988799731,97.1181364993754,112.60238150061923,141.5640281496042,11519.556852999813,11757.095377300539,12049.64370051026,44.79107362941232,45.71147354745121,,,6.98,1.6029301158816605,0.523489055941673,3.0620126585039027
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,100,4.8415928748541095,1239.447775962652,42078.45022957202,35853.357198000595,79043.85398080012,85619.6316242692,57898.1986255003,99666.19237259911,100229.55130009798,126.26453761176711,196.97073460391218,,,13.96,3.1286334551417405,3.1286334551417405,1.0
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,10,4.7719798937738185,1221.6268528060975,17966.183706139967,10982.158804500614,34561.028582900144,37191.71499521018,52726.1253580009,66010.29693989949,72050.16433209837,127.89338970587957,201.88968839568963,,,13.96,3.1742735262166653,3.1286334551417405,1.0145878613552246
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,1,0.9960711748502927,254.99422076167494,187.38647910005602,168.23738849961956,260.9044174996598,372.39461833034505,7084.004806500161,8006.255002600483,8468.426534270202,27.07130490195827,30.72579458823277,,,13.96,15.207316331306437,3.1286334551417405,4.860689674692966
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,200,4.797829653547655,1228.2443913081997,43989.87216917595,37483.90214000028,82292.2228604988,89072.36911649971,58920.14572950211,102329.1851172984,102565.93630255913,126.4366960627419,198.8549593360764,,,13.96,3.157171166601109,3.1286334551417405,1.00912146209153
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,25,4.783277261510798,1224.5189789467643,35583.25612932008,28979.483988999164,66714.77748650014,71821.77814080044,57970.46457900069,91073.67157190002,92896.97991008917,127.87978700588272,200.69818200784627,,,13.96,3.166776378683114,3.1286334551417405,1.0121915603372096
S5,sglang,mistralai/Mixtral-8x7B-Instruct-v0.1,sparse_moe,12.9B,float16,H100,2,50,4.773243106623893,1221.9502352957165,40704.696125145965,34313.29980949977,76299.5656946996,82142.15348979975,58629.00719699974,98218.42331480002,99090.317287589,127.03803603137345,199.84455904666726,,,13.96,3.1734334719771473,3.1286334551417405,1.014319356191049
